season,category,source_table,team,home_games,home_attendance,home_average,road_games,road_attendance,road_average
2026,Playoffs,2026 NBA PLAYOFFS GAME ATTENDANCE,Atlanta Hawks,3,54900,18300,3,59436,19812
2026,Playoffs,2026 NBA PLAYOFFS GAME ATTENDANCE,Boston Celtics,4,76624,19156,3,59238,19746
2026,Playoffs,2026 NBA PLAYOFFS GAME ATTENDANCE,Cleveland Cavaliers,9,174888,19432,9,179391,19932
2026,Playoffs,2026 NBA PLAYOFFS GAME ATTENDANCE,Denver Nuggets,3,59395,19798,3,56934,18978
2026,Playoffs,2026 NBA PLAYOFFS GAME ATTENDANCE,Detroit Pistons,8,160496,20062,6,115387,19231
2026,Playoffs,2026 NBA PLAYOFFS GAME ATTENDANCE,Houston Rockets,3,54165,18055,3,57171,19057
2026,Playoffs,2026 NBA PLAYOFFS GAME ATTENDANCE,Los Angeles Lakers,5,95285,19057,5,90571,18114
2026,Playoffs,2026 NBA PLAYOFFS GAME ATTENDANCE,Minnesota Timberwolves,6,113868,18978,6,116752,19459
2026,Playoffs,2026 NBA PLAYOFFS GAME ATTENDANCE,New York Knicks,9,178308,19812,10,190089,19009
2026,Playoffs,2026 NBA PLAYOFFS GAME ATTENDANCE,Oklahoma City Thunder,8,145624,18203,7,129761,18537
2026,Playoffs,2026 NBA PLAYOFFS GAME ATTENDANCE,Orlando Magic,3,57091,19030,4,80248,20062
2026,Playoffs,2026 NBA PLAYOFFS GAME ATTENDANCE,Philadelphia 76ers,5,98730,19746,6,116248,19375
2026,Playoffs,2026 NBA PLAYOFFS GAME ATTENDANCE,Phoenix Suns,2,34142,17071,2,36406,18203
2026,Playoffs,2026 NBA PLAYOFFS GAME ATTENDANCE,Portland Trail Blazers,2,40155,20078,3,57773,19258
2026,Playoffs,2026 NBA PLAYOFFS GAME ATTENDANCE,San Antonio Spurs,12,229468,19122,11,209525,19048
2026,Playoffs,2026 NBA PLAYOFFS GAME ATTENDANCE,Toronto Raptors,3,59519,19840,4,77728,19432
2026,Playoffs,2026 NBA PLAYOFFS GAME ATTENDANCE,TOTALS,85,1632658,19208,85,1632658,19208
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Atlanta Hawks,41,670581,16356,41,733755,17896
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Boston Celtics,41,785396,19156,41,753964,18389
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Brooklyn Nets,41,713896,17412,41,747699,18237
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Charlotte Hornets,41,767319,18715,41,750488,18305
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Chicago Bulls,41,829997,20244,41,739108,18027
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Cleveland Cavaliers,41,796712,19432,41,737697,17993
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Dallas Mavericks,41,790821,19288,40,716407,17910
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Denver Nuggets,41,812868,19826,41,732952,17877
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Detroit Pistons,40,786037,19651,41,755451,18426
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Golden State Warriors,41,740624,18064,41,754762,18409
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Houston Rockets,41,740378,18058,41,743224,18127
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Indiana Pacers,41,682287,16641,41,740832,18069
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Los Angeles Clippers,41,722504,17622,41,736938,17974
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Los Angeles Lakers,41,773047,18855,41,760388,18546
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Memphis Grizzlies,40,613576,15339,40,718179,17954
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Miami Heat,41,808063,19709,41,744282,18153
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Milwaukee Bucks,41,682644,16650,41,742292,18105
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Minnesota Timberwolves,41,732465,17865,41,739096,18027
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,New Orleans Pelicans,41,675507,16476,41,734754,17921
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,New York Knicks,40,792480,19812,41,750177,18297
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Oklahoma City Thunder,41,746323,18203,40,725956,18149
2025-26,Regular Season,FINAL 2025-26 NBA REGULAR SEASON GAME ATTENDANCE,Orlando Magic,40,738471,18462,39,717609,18400
